摘要,事务密钥,事务ID,事务类型,状态,项目键,项目名称,项目类型,项目负责人,项目主管 ID,项目描述,优先级,解决方案,经办人,经办人 ID,报告人,报告人 ID,创建者,创建者 ID,已创建,已更新,最近查看过的,已解决,截止日期,表决,标签,描述,环境,管理关注列表,管理关注列表,管理关注列表,关注者 ID,关注者 ID,关注者 ID,登记工作日志,登记工作日志,原始预估,剩余估计量,所用时间,工作量比率,初始预估时间总计,Σ 剩余估计量,总耗费时间,安全级别,附件,附件,附件,附件,附件,附件,自定义字段 (Actual Result),自定义字段 (Affected Version),自定义字段 (Affected services),自定义字段 (Affects Versions),自定义字段 (Approvals),自定义字段 (Asset type),自定义字段 (Atlassian 项目),自定义字段 (Atlassian 项目状态),自定义字段 (BOM Name),自定义字段 (BOM name and version),自定义字段 (Bug Fix Point),自定义字段 (Category),自定义字段 (Client),自定义字段 (Customer Name),自定义字段 (Design Completion Date),自定义字段 (Device),自定义字段 (End Date),自定义字段 (Epic Color),自定义字段 (Epic Name),自定义字段 (Epic Status),自定义字段 (Expected Due Date),自定义字段 (Expected Result),自定义字段 (Feasibility Completion Date),自定义字段 (Fix Versions),自定义字段 (Issue color),自定义字段 (Locked forms),自定义字段 (Open forms),自定义字段 (Pain Point ),自定义字段 (Priority),自定义字段 (Prod Approved By),自定义字段 (Production Completion Date),自定义字段 (Production Only),自定义字段 (Production Status),自定义字段 (Project),自定义字段 (Project overview key),自定义字段 (Project overview status),自定义字段 (R&D completion time),自定义字段 (Rank),自定义字段 (Reference),自定义字段 (Reproduction),自定义字段 (Request Type),自定义字段 (Request language),自定义字段 (Request participants),自定义字段 (Resolution),自定义字段 (Resolver),自定义字段 (Resolver),自定义字段 (Resolver)ID,自定义字段 (Resolver),满意度评级,自定义字段 (Satisfaction date),自定义字段 (Scheduled Completion Date),自定义字段 (Sentiment),自定义字段 (Solution),自定义字段 (Solution Approach),自定义字段 (Staging Approved By),自定义字段 (Staging Completion Date),自定义字段 (Staging Status),自定义字段 (Start date),自定义字段 (Story Points),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Submitted forms),自定义字段 (Tag),自定义字段 (Target Completion Date),自定义字段 (Target Timeline),自定义字段 (Target end),自定义字段 (Target start),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Team),自定义字段 (Time to first response),自定义字段 (Time to resolution),自定义字段 (Total forms),自定义字段 (Trade Show Date),自定义字段 (Version),自定义字段 (Version Type),自定义字段 (Vulnerability),自定义字段 (Workflow Needed),自定义字段 ([CHART] Date of First Response),自定义字段 ([CHART] Time in Status),自定义字段 (development),自定义字段 (交付状态),自定义字段 (交付进度),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (优先级),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (值),自定义字段 (工作类别),自定义字段 (工作量),自定义字段 (已链接的项目),自定义字段 (影响),自定义字段 (影响分数),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (微软),自定义字段 (想法已归档),自定义字段 (想法归档时间),自定义字段 (想法的简短描述),自定义字段 (截至日期),自定义字段 (报告人),自定义字段 (报告人)ID,自定义字段 (提测时间),自定义字段 (文档),自定义字段 (时间跟踪),自定义字段 (时间跟踪),自定义字段 (洞察信息),自定义字段 (环境),自定义字段 (环境),自定义字段 (环境),自定义字段 (目标),自定义字段 (类别),自定义字段 (置信度),自定义字段 (规格准备就绪),自定义字段 (设计准备就绪),自定义字段 (评论),自定义字段 (路线图),自定义字段 (重点领域),自定义字段 (项目),自定义字段 (项目开始),自定义字段 (项目目标),自定义字段 (预算),评论,评论,评论,评论,评论,父项,父项关键字,Parent summary,状态类别,状态类别已更改
BOM物料清单生成,DC320-8,36598,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:46 上午,24/十一月/25 12:31 上午,,14/十月/25 8:25 下午,14/十月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@333e138e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033an:,,,,,,,,,,,,,,,,,,,,14/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_10817012231_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36585,DC320-1,硬件设计 Hardware design,完成,14/十月/25 8:25 下午
研发元器件样品采购,DC320-9,36599,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:47 上午,24/十一月/25 12:31 上午,,26/十月/25 8:35 下午,29/十月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@318df70d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033av:,,,,,,,,,,,,,,,,,,,,15/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_11990883059_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36585,DC320-1,硬件设计 Hardware design,完成,26/十月/25 8:35 下午
PCB Layout,DC320-10,36600,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:48 上午,24/十一月/25 12:31 上午,,26/十月/25 8:35 下午,23/十月/25 12:00 上午,0,,,,Yanwen Wang,程少立,,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:44c146bf-076a-4f8e-a202-598eca2d3595,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2632daac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033b3:,,,,,,,,,,,,,,,,,,,,15/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-15 05:55:34.436,11679_*:*_1_*:*_10953398643_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/九月/25 1:55 上午;712020:44c146bf-076a-4f8e-a202-598eca2d3595;前置条件：需要结构输出PCB外框尺寸,,,,,36585,DC320-1,硬件设计 Hardware design,完成,26/十月/25 8:35 下午
PCB Layout Review以及后续修改,DC320-11,36601,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:49 上午,24/十一月/25 12:31 上午,,26/十月/25 8:35 下午,23/十月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61a52312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033bb:,,,,,,,,,,,,,,,,,,,,22/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_11990786632_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36585,DC320-1,硬件设计 Hardware design,完成,26/十月/25 8:35 下午
PCB投板,DC320-12,36602,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:50 上午,24/十一月/25 12:31 上午,,26/十月/25 8:36 下午,24/十月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@155d2a1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033bj:,,,,,,,,,,,,,,,,,,,,24/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_11990744056_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36585,DC320-1,硬件设计 Hardware design,完成,26/十月/25 8:36 下午
PCB制板,DC320-13,36603,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:50 上午,24/十一月/25 12:31 上午,,13/十一月/25 7:54 下午,31/十月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,;03/十一月/25 2:18 上午;8222f3ba-8a61-43d6-8c04-0878918862a4;86400,,,0,86400,,,0,86400,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48fe7463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033br:,,,,,,,,,,,,,,,,,,,,27/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_11990744219_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/十一月/25 2:18 上午;712020:8b826984-d86c-4a33-a641-251511cda1da;因为采购dealy，导致PCB无法按期回板。,,,,,36585,DC320-1,硬件设计 Hardware design,完成,13/十一月/25 7:54 下午
PCBA生产,DC320-14,36604,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:55 上午,24/十一月/25 12:31 上午,,13/十一月/25 7:53 下午,05/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17401a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033bz:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_2_*:*_12858081222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36585,DC320-1,硬件设计 Hardware design,完成,13/十一月/25 7:54 下午
初版样机调试,DC320-15,36605,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:55 上午,24/十一月/25 12:31 上午,,19/十一月/25 4:40 上午,10/十一月/25 12:00 上午,0,,,,Yan Li,Yanwen Wang,,712020:9b0c3ba0-c41e-41b1-8cdb-da7c2fe260df,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d43cbae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033c7:,,,,,,,,,,,,,,,,,,,,06/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-19 09:40:34.356,11679_*:*_1_*:*_13546701081_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/十一月/25 4:40 上午;712020:9b0c3ba0-c41e-41b1-8cdb-da7c2fe260df;1、目前已完成上电测试与程序烧录无异常,,,,,36585,DC320-1,硬件设计 Hardware design,完成,19/十一月/25 4:40 上午
初版样机系统联测,DC320-16,36606,子任务,IN PROGRESS正在进行,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Feng Yan,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:56 上午,24/十一月/25 5:17 上午,,,02/十二月/25 12:00 上午,0,,,,Feng Yan,Yanwen Wang,,712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1373e335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033cf:,,,,,,,,,,,,,,,,,,,,11/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-11-24 10:15:39.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/十一月/25 5:15 上午;712020:1d3d4fa8-c7de-4b15-895f-81520a20fcfb;11.27日软件才能提供可测试版本,,,,,36585,DC320-1,硬件设计 Hardware design,正在进行,13/十一月/25 7:54 下午
结构设计 Structural design,DC320-17,36607,任务,IN PROGRESS正在进行,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Gift Wang,6319068fea661fd37d508095,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 1:56 上午,21/十月/25 6:05 上午,,,25/二月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5822bd6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033cn:,,,,,,,,,,,,,,,,,,,,15/九月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正在进行,15/九月/25 2:24 上午
PTB认证,DC320-70,41162,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,15/九月/25 9:53 下午,15/九月/25 9:53 下午,,,30/一月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@366fea9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033li:y,,,,,,,,,,,,,,,,,,,,08/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36615,DC320-19,认证 Certification,待办,15/九月/25 9:53 下午
UL认证,DC320-20,36653,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:19 上午,15/九月/25 5:10 上午,,,30/一月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3765271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033lj:,,,,,,,,,,,,,,,,,,,,08/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36615,DC320-19,认证 Certification,待办,10/六月/25 2:19 上午
MID认证,DC320-21,36666,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:20 上午,15/九月/25 9:54 下午,,,10/四月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54c252cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033mn:,,,,,,,,,,,,,,,,,,,,14/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36615,DC320-19,认证 Certification,待办,10/六月/25 2:20 上午
基于MID要求打板、调试,DC320-22,36673,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:21 上午,15/九月/25 5:12 上午,,,08/十二月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fcd7890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033nj:,,,,,,,,,,,,,,,,,,,,14/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36666,DC320-21,MID认证,待办,10/六月/25 2:21 上午
MID认证,DC320-23,36675,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:22 上午,15/九月/25 9:54 下午,,,10/四月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@360b97f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033nr:,,,,,,,,,,,,,,,,,,,,15/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36666,DC320-21,MID认证,待办,10/六月/25 2:22 上午
MCU,DC320-24,36676,任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:28 上午,22/十二月/25 9:32 下午,,22/十二月/25 9:32 下午,23/十二月/25 12:00 上午,0,,,,Yanwen Wang,Yue Yang,,712020:8b826984-d86c-4a33-a641-251511cda1da,712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a6db1cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033nz:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-09-12 10:01:34.667,11679_*:*_1_*:*_16920234987_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/九月/25 6:01 上午;712020:957b55c4-f617-4ca2-8ece-9b50291ed7d7;270项目计划计划由王少英负责，需要等DC300和DC260项目结项后投入开发，开始时间受DC300和DC260结束时间影响，目前无法确定。,14/九月/25 11:20 下午;712020:8b826984-d86c-4a33-a641-251511cda1da;[~accountid:712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814]  基于沟通，请按目前工作包更新项目进度时间。谢谢,,,,,,,完成,22/十二月/25 9:32 下午
建立软件项目并移植 DC300 软件代码,DC320-25,36677,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:29 上午,03/十一月/25 1:29 上午,,03/十一月/25 1:29 上午,14/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77e99bb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033o1:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_12614409371_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36676,DC320-24,MCU,完成,03/十一月/25 1:29 上午
Remote Display BOOT/APP开发，FCT开发,DC320-71,41163,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,Shaoying Wang,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,15/九月/25 11:27 下午,12/十一月/25 8:04 下午,,12/十一月/25 8:04 下午,14/十一月/25 12:00 上午,0,,,,Shaoying Wang,,,712020:90f11bd4-565d-4a3c-bcc8-d5abf81c5814,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3629c1e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033o3:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_4161249690_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36676,DC320-24,MCU,完成,12/十一月/25 8:04 下午
